name,price,url,price_discounted,price_original,pct_discount,article_id
Cotton Velvet Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/74267?article=74267-A,6.99,17.99,61.145080600333515,74267-A
Color-block Cushion Cover,$4.99 $12.99,http://www.hm.com/us/product/73344?article=73344-A,4.99,12.99,61.585835257890686,73344-A
Scented Candle in Holder,$7.99 $17.99,http://www.hm.com/us/product/73325?article=73325-C,7.99,17.99,55.5864369093941,73325-C
Slub-weave Cushion Cover,$3.99 $9.99,http://www.hm.com/us/product/74264?article=74264-A,3.99,9.99,60.06006006006006,74264-A
Jacquard-weave Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72455?article=72455-A,6.99,17.99,61.145080600333515,72455-A
Texture-patterned Plate,$4.99 $12.99,http://www.hm.com/us/product/70799?article=70799-B,4.99,12.99,61.585835257890686,70799-B
Cotton Canvas Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/68473?article=68473-D,2.99,5.99,50.08347245409015,68473-D
Glittery Placemat,$4.99 $9.99,http://www.hm.com/us/product/72111?article=72111-C,4.99,9.99,50.050050050050054,72111-C
Textured-weave Cushion Cover,$6.99 $12.99,http://www.hm.com/us/product/58926?article=58926-B,6.99,12.99,46.18937644341801,58926-B
Slub-weave Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/58211?article=58211-A,2.99,5.99,50.08347245409015,58211-A
Faux Fur Throw,$34.99 $79.99,http://www.hm.com/us/product/75469?article=75469-A,34.99,79.99,56.257032129016125,75469-A
Faux Fur Seat Cushion,$7.99 $17.99,http://www.hm.com/us/product/76982?article=76982-A,7.99,17.99,55.5864369093941,76982-A
Faux Fur Throw,$34.99 $79.99,http://www.hm.com/us/product/74825?article=74825-A,34.99,79.99,56.257032129016125,74825-A
Patterned Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/74263?article=74263-A,2.99,5.99,50.08347245409015,74263-A
Sequined Table Runner,$14.99 $24.99,http://www.hm.com/us/product/78047?article=78047-A,14.99,24.99,40.01600640256102,78047-A
Jacquard-weave Cushion Cover,$5.99 $12.99,http://www.hm.com/us/product/60637?article=60637-G,5.99,12.99,53.88760585065435,60637-G
Cushion Cover with Tassels,$12.99 $17.99,http://www.hm.com/us/product/78381?article=78381-A,12.99,17.99,27.793218454697044,78381-A
